0,1,2,3,4
5.744562646538029,0.62,0.5909,0.1642,0.78
3.7416573867739413,0.62,0.5909,0.1642,0.78
2.449489742783178,0.62,0.5758,0.1642,0.83
1.4142135623730951,0.62,0.5758,0.1642,0.83
3.0,0.6,0.5455,0.1045,0.88
5.0,0.6,0.5455,0.1343,0.88
10.723805294763608,0.6,0.5455,0.1343,0.88
17.578395831246947,0.6,0.5152,0.0,0.94
20.024984394500787,0.62,0.5606,0.1045,0.88
16.583123951777,0.62,0.5606,0.2537,0.88
12.68857754044952,0.64,0.5758,0.194,0.83
13.076696830622021,0.66,0.6061,0.1642,0.83
13.74772708486752,0.7,0.6667,0.1642,0.74
14.38749456993816,0.74,0.697,0.1642,0.66
12.328828005937952,0.76,0.7121,0.2239,0.62
13.038404810405298,0.78,0.7424,0.2537,0.59
18.303005217723125,0.8,0.7727,0.2239,0.59
23.916521486202797,0.78,0.7576,0.2239,0.66
23.15167380558045,0.76,0.7273,0.2537,0.7
20.615528128088304,0.74,0.7121,0.2239,0.74
18.05547008526779,0.74,0.697,0.2239,0.7
15.132745950421556,0.72,0.697,0.194,0.74
10.44030650891055,0.7,0.6667,0.1045,0.79
8.0,0.7,0.6667,0.1045,0.74
5.744562646538029,0.66,0.6061,0.194,0.78
4.58257569495584,0.66,0.6061,0.1343,0.78
2.6457513110645907,0.66,0.6061,0.0,0.78
2.6457513110645907,0.66,0.6061,0.1343,0.78
3.3166247903554,0.64,0.5758,0.0,0.83
4.795831523312719,0.64,0.5758,0.0,0.89
11.045361017187261,0.66,0.6061,0.0,0.83
17.635192088548397,0.7,0.6667,0.0,0.79
20.566963801203133,0.72,0.697,0.1045,0.74
14.798648586948742,0.72,0.697,0.1642,0.79
11.61895003862225,0.74,0.697,0.2537,0.7
12.041594578792296,0.74,0.697,0.1642,0.7
13.711309200802088,0.8,0.7727,0.2239,0.59
12.12435565298214,0.82,0.7879,0.2537,0.56
12.041594578792296,0.82,0.7727,0.2836,0.52
12.083045973594572,0.82,0.7879,0.2836,0.56
16.06237840420901,0.82,0.803,0.3284,0.59
23.0,0.8,0.7576,0.3881,0.55
22.64950330581225,0.8,0.7727,0.2537,0.59
18.49324200890693,0.8,0.7424,0.2537,0.52
16.792855623746664,0.74,0.7121,0.1343,0.74
15.716233645501712,0.74,0.7121,0.1642,0.79
12.165525060596439,0.72,0.697,0.194,0.79
10.246950765959598,0.72,0.697,0.2239,0.79
7.0,0.72,0.697,0.2239,0.79
5.5677643628300215,0.72,0.697,0.2239,0.74
2.0,0.72,0.697,0.2239,0.74
2.23606797749979,0.72,0.697,0.1642,0.74
2.6457513110645907,0.7,0.6667,0.1343,0.79
4.898979485566356,0.72,0.697,0.1642,0.74
10.0,0.72,0.697,0.1642,0.74
18.083141320025124,0.72,0.697,0.1343,0.74
20.784609690826528,0.74,0.697,0.194,0.7
15.066519173319364,0.74,0.697,0.1343,0.7
11.269427669584644,0.76,0.7273,0.1343,0.66
11.661903789690601,0.76,0.7273,0.2537,0.66
12.649110640673518,0.76,0.7273,0.2836,0.66
13.638181696985855,0.76,0.7121,0.2836,0.62
12.206555615733702,0.76,0.7273,0.2985,0.66
13.74772708486752,0.76,0.697,0.3582,0.52
16.583123951777,0.74,0.6818,0.2985,0.62
23.853720883753127,0.72,0.6818,0.3582,0.7
23.2379000772445,0.72,0.6818,0.4179,0.7
20.0,0.72,0.6818,0.3582,0.7
18.76166303929372,0.7,0.6667,0.2239,0.74
15.297058540778355,0.7,0.6667,0.194,0.74
12.727922061357855,0.7,0.6667,0.2239,0.74
10.246950765959598,0.7,0.6667,0.2836,0.74
7.937253933193772,0.68,0.6364,0.194,0.79
5.291502622129181,0.66,0.6061,0.3284,0.83
3.7416573867739413,0.66,0.6061,0.3284,0.83
2.23606797749979,0.66,0.6061,0.1642,0.83
3.0,0.66,0.6061,0.0896,0.83
4.47213595499958,0.64,0.5758,0.0896,0.89
9.539392014169456,0.66,0.6061,0.1343,0.83
16.3707055437449,0.66,0.6061,0.2239,0.83
21.587033144922902,0.7,0.6667,0.2239,0.74
15.198684153570664,0.74,0.6818,0.1343,0.62
12.041594578792296,0.8,0.7273,0.2836,0.43
14.247806848775006,0.8,0.7121,0.3284,0.38
14.177446878757825,0.8,0.7121,0.2836,0.41
14.866068747318506,0.8,0.7121,0.2239,0.36
15.132745950421556,0.78,0.697,0.2836,0.43
14.696938456699069,0.82,0.7273,0.3881,0.34
18.083141320025124,0.8,0.697,0.4179,0.33
23.600847442411894,0.76,0.6667,0.2537,0.37
21.2602916254693,0.76,0.6667,0.2985,0.37
19.621416870348583,0.74,0.6515,0.2239,0.4
16.97056274847714,0.72,0.6515,0.1642,0.45
15.264337522473747,0.7,0.6515,0.1343,0.48
12.922847983320086,0.7,0.6515,0.0,0.48
13.114877048604,0.68,0.6364,0.1343,0.51
10.770329614269007,0.68,0.6364,0.1642,0.47
9.746794344808963,0.66,0.6212,0.1642,0.5
7.681145747868608,0.66,0.6212,0.194,0.5
6.244997998398398,0.64,0.6212,0.194,0.57
3.3166247903554,0.64,0.6212,0.194,0.57
3.7416573867739413,0.62,0.6061,0.1343,0.61
5.385164807134504,0.64,0.6212,0.2239,0.57
6.48074069840786,0.64,0.6212,0.2836,0.57
10.583005244258363,0.7,0.6515,0.2537,0.48
13.638181696985855,0.72,0.6515,0.2537,0.45
17.378147196982766,0.72,0.6515,0.194,0.45
18.193405398660254,0.74,0.6667,0.0,0.42
19.79898987322333,0.74,0.6515,0.2836,0.4
19.261360284258224,0.74,0.6515,0.2836,0.4
19.570385790780925,0.74,0.6667,0.2985,0.45
19.79898987322333,0.74,0.6667,0.0,0.45
20.248456731316587,0.76,0.6818,0.2985,0.43
19.974984355438178,0.74,0.6667,0.2239,0.42
17.52141546793523,0.72,0.6515,0.2537,0.45
19.364916731037084,0.72,0.6667,0.2836,0.48
16.401219466856727,0.7,0.6515,0.194,0.48
14.212670403551895,0.68,0.6364,0.1642,0.51
13.674794331177344,0.68,0.6364,0.194,0.47
13.379088160259652,0.66,0.6212,0.2985,0.5
10.723805294763608,0.64,0.6212,0.0,0.53
9.486832980505138,0.64,0.6212,0.1045,0.53
9.327379053088816,0.62,0.6212,0.1045,0.57
5.830951894845301,0.6,0.6061,0.1045,0.64
3.3166247903554,0.6,0.6061,0.0896,0.64
3.4641016151377544,0.6,0.6061,0.0,0.64
4.47213595499958,0.6,0.6061,0.0,0.64
7.14142842854285,0.62,0.6061,0.0,0.61
10.344080432788601,0.64,0.6212,0.194,0.61
14.352700094407323,0.66,0.6212,0.0896,0.54
18.2208671582886,0.72,0.6667,0.1045,0.48
18.601075237738275,0.72,0.6515,0.1343,0.45
21.047565179849187,0.74,0.6515,0.1642,0.4
21.02379604162864,0.74,0.6515,0.0,0.4
21.047565179849187,0.74,0.6515,0.1343,0.4
20.074859899884732,0.74,0.6515,0.0,0.4
21.330729007701542,0.74,0.6667,0.194,0.42
20.518284528683193,0.72,0.6515,0.1642,0.42
19.544820285692065,0.72,0.6515,0.2537,0.45
17.804493814764857,0.72,0.6667,0.1343,0.48
14.594519519326424,0.7,0.6515,0.1045,0.48
13.527749258468683,0.7,0.6515,0.1045,0.54
10.677078252031311,0.7,0.6515,0.0,0.51
8.831760866327848,0.7,0.6515,0.0896,0.54
5.656854249492381,0.64,0.6061,0.2836,0.73
3.872983346207417,0.62,0.5909,0.1343,0.78
2.449489742783178,0.62,0.5909,0.1343,0.78
1.4142135623730951,0.62,0.5909,0.1343,0.78
3.0,0.6,0.5606,0.1642,0.83
4.69041575982343,0.62,0.5758,0.1642,0.83
9.695359714832659,0.62,0.5909,0.1642,0.78
16.15549442140351,0.64,0.6061,0.2239,0.73
21.142374511865974,0.66,0.6212,0.194,0.74
13.674794331177344,0.72,0.6667,0.0,0.54
12.24744871391589,0.72,0.6667,0.1343,0.54
12.24744871391589,0.7,0.6515,0.0,0.58
13.038404810405298,0.72,0.6667,0.0,0.54
12.806248474865697,0.72,0.6667,0.2239,0.58
12.569805089976535,0.72,0.6667,0.0896,0.58
14.212670403551895,0.74,0.6818,0.0,0.55
16.583123951777,0.74,0.6818,0.1045,0.55
24.576411454889016,0.74,0.6818,0.1343,0.55
24.310491562286437,0.74,0.6667,0.0,0.51
19.8997487421324,0.72,0.6818,0.194,0.62
17.46424919657298,0.7,0.6515,0.1045,0.65
15.556349186104045,0.7,0.6515,0.0,0.65
12.041594578792296,0.68,0.6364,0.0,0.69
9.0,0.68,0.6364,0.0,0.69
5.477225575051661,0.66,0.6061,0.1343,0.78
3.605551275463989,0.66,0.6212,0.0,0.74
3.3166247903554,0.66,0.6212,0.0,0.74
1.4142135623730951,0.66,0.6212,0.0,0.74
2.8284271247461903,0.66,0.6212,0.0,0.74
4.58257569495584,0.66,0.6061,0.0,0.78
11.135528725660043,0.66,0.6061,0.1642,0.83
18.627936010197157,0.68,0.6364,0.194,0.83
21.354156504062622,0.7,0.6667,0.1642,0.79
15.684387141358123,0.74,0.697,0.0,0.7
12.529964086141668,0.8,0.7424,0.1642,0.49
12.922847983320086,0.82,0.7576,0.0,0.46
14.212670403551895,0.84,0.7727,0.2239,0.47
13.74772708486752,0.84,0.7576,0.0,0.44
12.649110640673518,0.86,0.7879,0.2239,0.44
12.884098726725126,0.86,0.7879,0.0,0.41
16.15549442140351,0.86,0.803,0.2836,0.47
24.06241883103193,0.82,0.7879,0.2836,0.56
22.44994432064365,0.8,0.7576,0.2985,0.55
17.291616465790582,0.74,0.6818,0.4627,0.58
17.204650534085253,0.74,0.6818,0.0,0.62
13.96424004376894,0.74,0.697,0.2836,0.66
11.575836902790225,0.7,0.6515,0.2985,0.7
9.0,0.7,0.6515,0.2836,0.7
6.0,0.68,0.6364,0.2836,0.79
5.291502622129181,0.68,0.6364,0.2985,0.79
4.0,0.66,0.6061,0.2239,0.83
2.23606797749979,0.66,0.6061,0.1045,0.83
2.23606797749979,0.66,0.6061,0.1045,0.83
4.69041575982343,0.64,0.5758,0.194,0.83
10.770329614269007,0.66,0.6212,0.2985,0.69
18.33030277982336,0.7,0.6515,0.2239,0.54
23.2379000772445,0.7,0.6515,0.2836,0.48
14.866068747318506,0.72,0.6515,0.3881,0.45
11.224972160321824,0.74,0.6667,0.2836,0.42
13.038404810405298,0.76,0.6667,0.2239,0.35
15.588457268119896,0.76,0.6667,0.2537,0.35
15.198684153570664,0.8,0.697,0.3284,0.31
13.711309200802088,0.8,0.697,0.194,0.31
13.74772708486752,0.82,0.7121,0.1642,0.3
18.110770276274835,0.82,0.7121,0.4179,0.3
23.874672772626646,0.82,0.7121,0.4179,0.26
24.24871130596428,0.8,0.697,0.2985,0.29
20.024984394500787,0.76,0.6667,0.3881,0.35
18.24828759089466,0.74,0.6515,0.2985,0.37
14.866068747318506,0.72,0.6515,0.2239,0.39
13.527749258468683,0.7,0.6364,0.194,0.42
11.357816691600547,0.68,0.6364,0.194,0.47
7.3484692283495345,0.66,0.6212,0.1642,0.5
5.656854249492381,0.64,0.6212,0.1343,0.53
2.8284271247461903,0.62,0.6212,0.1343,0.57
3.0,0.6,0.6061,0.1642,0.6
2.449489742783178,0.58,0.5455,0.1343,0.64
5.0,0.58,0.5455,0.2537,0.64
11.090536506409418,0.6,0.6061,0.2537,0.64
17.88854381999832,0.62,0.6061,0.2239,0.61
23.558437978779494,0.68,0.6364,0.2239,0.47
16.1245154965971,0.7,0.6364,0.2239,0.42
11.489125293076057,0.72,0.6515,0.194,0.42
13.0,0.74,0.6515,0.1343,0.37
15.264337522473747,0.76,0.6667,0.1642,0.35
15.231546211727817,0.76,0.6667,0.194,0.33
12.767145334803704,0.78,0.6818,0.194,0.31
15.491933384829668,0.78,0.6667,0.2537,0.25
17.97220075561143,0.8,0.697,0.1343,0.26
24.372115213907882,0.78,0.6818,0.3582,0.27
24.20743687382041,0.76,0.6667,0.2537,0.29
21.330729007701542,0.74,0.6515,0.194,0.33
18.439088914585774,0.74,0.6515,0.194,0.33
17.97220075561143,0.72,0.6515,0.1045,0.37
14.38749456993816,0.7,0.6364,0.1642,0.42
11.224972160321824,0.66,0.6212,0.0,0.5
8.246211251235321,0.66,0.6212,0.0,0.5
5.5677643628300215,0.66,0.6212,0.0,0.5
3.605551275463989,0.62,0.6061,0.0,0.69
3.3166247903554,0.64,0.6212,0.0,0.53
2.449489742783178,0.62,0.6212,0.0,0.57
5.477225575051661,0.6,0.6061,0.1343,0.64
10.392304845413264,0.62,0.6061,0.1343,0.61
15.588457268119896,0.66,0.6212,0.1045,0.54
22.181073012818835,0.7,0.6364,0.1642,0.42
16.1245154965971,0.74,0.6515,0.1642,0.35
13.038404810405298,0.76,0.6667,0.1642,0.33
14.628738838327793,0.8,0.697,0.0,0.26
16.217274740226856,0.8,0.697,0.0,0.26
17.08800749063506,0.8,0.6818,0.0,0.24
17.406895185529212,0.82,0.697,0.194,0.23
19.519221295943137,0.82,0.697,0.2537,0.21
20.663978319771825,0.82,0.697,0.0,0.17
21.470910553583888,0.82,0.697,0.194,0.21
20.54263858417414,0.8,0.6818,0.2537,0.24
17.832554500127006,0.78,0.6667,0.194,0.25
16.401219466856727,0.72,0.6515,0.2239,0.42
14.7648230602334,0.7,0.6364,0.194,0.45
14.89966442575134,0.7,0.6364,0.0,0.42
11.832159566199232,0.68,0.6364,0.0896,0.47
10.723805294763608,0.68,0.6364,0.0896,0.47
8.831760866327848,0.66,0.6212,0.0,0.54
7.211102550927978,0.64,0.6212,0.0,0.53
5.0990195135927845,0.64,0.6212,0.0,0.53
3.3166247903554,0.62,0.6061,0.0,0.61
3.7416573867739413,0.58,0.5455,0.1045,0.73
5.656854249492381,0.62,0.6061,0.1045,0.69
6.708203932499369,0.64,0.6061,0.0,0.65
11.489125293076057,0.68,0.6364,0.0,0.57
13.379088160259652,0.74,0.6667,0.0896,0.51
16.46207763315433,0.8,0.7121,0.0,0.36
18.894443627691185,0.8,0.7121,0.0896,0.36
19.339079605813716,0.82,0.7121,0.1343,0.3
20.09975124224178,0.82,0.7121,0.1045,0.3
19.79898987322333,0.84,0.7121,0.0,0.2
18.193405398660254,0.86,0.7273,0.1642,0.19
19.949937343260004,0.88,0.7424,0.2239,0.22
18.681541692269406,0.84,0.7273,0.2239,0.3
19.570385790780925,0.82,0.7121,0.2836,0.3
17.46424919657298,0.8,0.697,0.2239,0.33
16.852299546352718,0.76,0.6818,0.2836,0.45
15.231546211727817,0.74,0.6667,0.194,0.48
14.177446878757825,0.72,0.6667,0.1642,0.51
12.409673645990857,0.72,0.6667,0.2836,0.54
12.0,0.7,0.6515,0.2239,0.58
8.831760866327848,0.7,0.6515,0.1642,0.61
8.306623862918075,0.7,0.6515,0.194,0.58
5.744562646538029,0.68,0.6364,0.0896,0.65
2.23606797749979,0.68,0.6364,0.0896,0.65
1.0,0.62,0.5758,0.194,0.83
1.7320508075688772,0.62,0.5455,0.0896,0.94
5.0,0.64,0.5758,0.194,0.89
9.591663046625438,0.68,0.6364,0.2239,0.79
13.45362404707371,0.7,0.6667,0.2537,0.74
16.24807680927192,0.74,0.697,0.1642,0.66
19.748417658131498,0.76,0.7121,0.1045,0.62
20.09975124224178,0.8,0.7576,0.1045,0.55
20.518284528683193,0.8,0.7727,0.2239,0.59
19.364916731037084,0.82,0.7879,0.2537,0.56
19.390719429665317,0.84,0.803,0.2985,0.53
20.346989949375804,0.84,0.803,0.2985,0.53
18.920887928424502,0.8,0.7424,0.8507,0.49
13.45362404707371,0.8,0.7424,0.8507,0.49
13.527749258468683,0.66,0.6061,0.194,0.83
13.2664991614216,0.66,0.6061,0.0,0.83
12.922847983320086,0.66,0.6061,0.1642,0.83
12.727922061357855,0.66,0.6061,0.1045,0.78
12.12435565298214,0.64,0.5758,0.1642,0.83
11.832159566199232,0.64,0.5758,0.1343,0.83
10.908712114635714,0.64,0.5758,0.0896,0.83
7.937253933193772,0.64,0.5758,0.0,0.83
5.0990195135927845,0.64,0.5909,0.0,0.78
3.4641016151377544,0.66,0.6061,0.0896,0.78
2.0,0.64,0.5758,0.1343,0.83
4.0,0.64,0.5758,0.1642,0.89
6.0,0.66,0.6061,0.1343,0.83
9.273618495495704,0.7,0.6667,0.1045,0.74
15.427248620541512,0.72,0.6818,0.0896,0.66
16.73320053068151,0.76,0.697,0.0896,0.55
18.681541692269406,0.76,0.697,0.0896,0.55
21.142374511865974,0.78,0.7121,0.0,0.52
20.566963801203133,0.78,0.7121,0.0,0.49
20.199009876724155,0.8,0.7273,0.0,0.46
20.199009876724155,0.82,0.7424,0.0896,0.43
21.2602916254693,0.82,0.7424,0.0,0.41
20.8806130178211,0.8,0.7273,0.0,0.46
20.445048300260872,0.8,0.7273,0.1343,0.46
19.364916731037084,0.78,0.7121,0.1642,0.49
19.6468827043885,0.76,0.697,0.1045,0.55
21.37755832643195,0.74,0.6818,0.1045,0.62
18.05547008526779,0.74,0.6818,0.1343,0.62
11.74734012447073,0.72,0.6818,0.1045,0.7
7.416198487095663,0.7,0.6515,0.1642,0.65
