0,1,2,3,4
6.928203230275509,0.36,0.3788,0.0,0.66
9.643650760992955,0.36,0.3485,0.1343,0.66
8.660254037844387,0.32,0.3485,0.0,0.76
7.211102550927978,0.3,0.3333,0.0,0.81
2.8284271247461903,0.28,0.303,0.0896,0.81
2.23606797749979,0.28,0.2879,0.1045,0.81
1.4142135623730951,0.26,0.2727,0.1343,0.93
2.6457513110645907,0.26,0.2576,0.1642,0.93
3.7416573867739413,0.26,0.2727,0.1045,0.87
6.324555320336759,0.26,0.2727,0.1045,0.93
8.366600265340756,0.3,0.3182,0.1045,0.81
11.74734012447073,0.34,0.3333,0.1343,0.76
14.177446878757825,0.4,0.4091,0.2836,0.62
14.933184523068078,0.42,0.4242,0.2836,0.58
16.34013463836819,0.44,0.4394,0.2985,0.54
16.278820596099706,0.46,0.4545,0.2985,0.51
14.66287829861518,0.44,0.4394,0.2985,0.54
10.535653752852738,0.48,0.4697,0.1642,0.48
10.295630140987,0.46,0.4545,0.2537,0.59
10.246950765959598,0.42,0.4242,0.3881,0.67
9.1104335791443,0.44,0.4394,0.2985,0.62
8.426149773176359,0.44,0.4394,0.2537,0.67
8.12403840463596,0.46,0.4545,0.4179,0.55
5.385164807134504,0.44,0.4394,0.2985,0.51
6.244997998398398,0.4,0.4091,0.4627,0.4
3.4641016151377544,0.36,0.3333,0.4179,0.43
2.6457513110645907,0.36,0.3182,0.4478,0.34
2.0,0.28,0.2576,0.3284,0.45
2.0,0.28,0.2576,0.3284,0.45
3.7416573867739413,0.26,0.2273,0.3881,0.41
4.0,0.24,0.2121,0.3881,0.32
7.280109889280518,0.24,0.2273,0.2537,0.35
8.246211251235321,0.24,0.2576,0.0,0.35
10.44030650891055,0.26,0.2424,0.2836,0.35
13.228756555322953,0.26,0.2121,0.4925,0.35
14.212670403551895,0.28,0.2727,0.2537,0.36
13.2664991614216,0.3,0.2727,0.2985,0.36
12.288205727444508,0.3,0.2727,0.4179,0.36
12.96148139681572,0.28,0.2424,0.4478,0.38
12.409673645990857,0.26,0.2273,0.4179,0.35
12.36931687685298,0.26,0.2273,0.3881,0.35
11.224972160321824,0.26,0.2424,0.2537,0.33
9.643650760992955,0.24,0.2273,0.2239,0.38
9.38083151964686,0.24,0.2273,0.2239,0.41
8.12403840463596,0.24,0.2121,0.3284,0.41
6.244997998398398,0.22,0.2121,0.2836,0.44
5.830951894845301,0.22,0.2121,0.2537,0.44
3.605551275463989,0.2,0.197,0.2537,0.51
2.449489742783178,0.18,0.1818,0.2239,0.55
1.7320508075688772,0.18,0.1667,0.2537,0.51
1.4142135623730951,0.16,0.1364,0.2836,0.55
2.23606797749979,0.16,0.1515,0.2537,0.55
3.4641016151377544,0.14,0.1364,0.194,0.54
9.219544457292887,0.14,0.1212,0.2836,0.59
13.038404810405298,0.14,0.1212,0.2537,0.59
18.81488772222678,0.16,0.1364,0.2836,0.55
12.36931687685298,0.16,0.1364,0.2836,0.5
7.745966692414834,0.16,0.1212,0.4627,0.47
8.660254037844387,0.18,0.1364,0.5224,0.37
8.602325267042627,0.18,0.1364,0.5224,0.37
8.54400374531753,0.18,0.1212,0.6567,0.34
8.888194417315589,0.16,0.1212,0.5224,0.43
8.774964387392123,0.16,0.1212,0.4179,0.37
11.661903789690601,0.14,0.0909,0.5821,0.39
15.652475842498529,0.14,0.1061,0.4627,0.26
14.966629547095765,0.14,0.0909,0.5224,0.26
12.489995996796797,0.12,0.0909,0.4179,0.28
10.723805294763608,0.12,0.1212,0.2537,0.33
8.246211251235321,0.1,0.1061,0.2239,0.36
5.744562646538029,0.1,0.1061,0.2537,0.46
4.242640687119285,0.1,0.0758,0.3881,0.46
3.0,0.08,0.0606,0.3284,0.42
1.7320508075688772,0.04,0.0303,0.2985,0.38
1.0,0.02,0.0152,0.2836,0.34
1.0,0.02,0.0152,0.2836,0.34
1.4142135623730951,0.02,0.0455,0.194,0.41
3.7416573867739413,0.02,0.0455,0.194,0.41
7.681145747868608,0.02,0.0455,0.1642,0.41
12.328828005937952,0.02,0.0455,0.194,0.44
17.74823934929885,0.02,0.0606,0.1343,0.44
13.416407864998739,0.04,0.0606,0.1343,0.45
8.0,0.06,0.1061,0.0,0.45
6.782329983125268,0.08,0.1212,0.0896,0.42
9.16515138991168,0.1,0.1061,0.194,0.46
9.539392014169456,0.14,0.1212,0.2537,0.43
8.660254037844387,0.14,0.1212,0.2537,0.46
9.486832980505138,0.18,0.1515,0.3284,0.37
11.445523142259598,0.18,0.1667,0.2836,0.4
16.76305461424021,0.2,0.197,0.194,0.4
17.0,0.2,0.2121,0.1343,0.37
13.564659966250536,0.2,0.2273,0.1045,0.4
11.090536506409418,0.2,0.197,0.194,0.4
9.486832980505138,0.2,0.2576,0.0,0.44
7.211102550927978,0.2,0.2273,0.0896,0.47
5.656854249492381,0.2,0.2273,0.1045,0.44
3.7416573867739413,0.22,0.2273,0.194,0.47
2.23606797749979,0.2,0.2273,0.0896,0.51
2.0,0.2,0.2273,0.0896,0.51
2.0,0.2,0.2576,0.0,0.61
2.23606797749979,0.2,0.2273,0.0896,0.59
5.0990195135927845,0.2,0.2273,0.0896,0.59
8.831760866327848,0.2,0.2121,0.1343,0.75
14.66287829861518,0.2,0.2273,0.0896,0.69
19.697715603592208,0.2,0.2576,0.0,0.75
15.066519173319364,0.22,0.2727,0.0,0.69
9.273618495495704,0.24,0.2576,0.0896,0.52
9.16515138991168,0.3,0.3333,0.0,0.49
10.954451150103322,0.3,0.2879,0.2537,0.49
10.862780491200215,0.34,0.303,0.2985,0.42
10.816653826391969,0.34,0.3182,0.2836,0.39
10.908712114635714,0.36,0.3333,0.2836,0.34
14.035668847618199,0.36,0.3333,0.2836,0.34
20.29778313018444,0.36,0.3485,0.194,0.34
19.570385790780925,0.34,0.3333,0.1642,0.36
16.278820596099706,0.34,0.3485,0.0896,0.34
13.30413469565007,0.3,0.3333,0.0,0.49
9.848857801796104,0.26,0.2727,0.1343,0.6
8.426149773176359,0.26,0.2576,0.1642,0.6
7.745966692414834,0.24,0.2576,0.1045,0.7
5.0,0.22,0.2576,0.0896,0.75
2.8284271247461903,0.22,0.2727,0.0,0.75
2.23606797749979,0.22,0.2273,0.1642,0.69
2.0,0.22,0.2424,0.1045,0.69
1.7320508075688772,0.22,0.2273,0.1343,0.69
3.605551275463989,0.2,0.2121,0.1343,0.8
8.366600265340756,0.22,0.2424,0.1045,0.73
14.317821063276353,0.24,0.2879,0.0,0.65
21.142374511865974,0.24,0.2424,0.1343,0.7
